rank,company,primary_domain,alt_domain,domain_confidence,in_hubspot,hs_matched_domain,hs_lifecycle,vertical,vertical_group,industry_tier,segments,revenue_band,hq,ownership,tier,wave,fit_score,hold,outbound_eligible,requires_review,gate_notes,score_industry,score_revenue,score_employees,score_spend,score_volume,score_video,score_brands,score_markets,score_locations,score_sku,score_media,score_ai,score_tech,score_procurement,primary_multiplier,fit_rationale,primary_use_case,est_first_deal,target_titles,trigger_hypothesis,verification_required,reference_to_cite,notes,apollo_lists
58,Utz Brands,utzsnacks.com,,High,True,utzsnacks.com,lead,CPG multi brand,CPG Multi-Brand,Tier 1,"S3, S7",$1B to $5B,"PA, US",Public,Tier 2 Priority,1,73,False,True,False,,12,10,4,5,8,4,8,2,0,5,3,5,2,5,"15+ regional snack brands including Utz, Zapp's, On The Border, Boulder Canyon","Regional brand structure creates a geographic plus brand multiplication problem at mid market scale, where budget is real but agency support is thin. Snack category is heavily promotional with constant retailer asset needs",Long tail brand content plus regional asset variation,$100K to $250K,VP Brand Marketing; Head of Creative; VP Shopper Marketing,New marketing leadership; brand expansion into new geographies; margin improvement programme,Brand count. Regional distribution footprint. Whether creative is agency led or in house,"Svedka, PacSun",,T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | CPG Multi-Brand
59,Vuori,vuoriclothing.com,,High,True,vuoriclothing.com,lead,Fashion and apparel,Fashion & Footwear,Tier 1,"S3, S10",$500M to $1B,"CA, US",Growth backed,Tier 2 Priority,1,73,False,True,False,,12,9,3,7,8,4,1,4,2,5,6,5,2,5,High growth performance apparel. 100+ stores planned. International expansion. Colourway heavy assortment,"Growth rate has outpaced content infrastructure, which is the standard condition in a company at this stage. Store expansion plus international entry plus colourway variation compound simultaneously. Growth capital means budget exists and decisions are fast",Colourway variant imagery plus social and campaign volume,$100K to $250K,VP Brand Marketing; Head of Creative; VP E-commerce,Store expansion; international market entry; marketing leadership hires; capital raise deployment,Store count and expansion pace. Market count. Creative team size versus growth. Private company financials require estimation,"PacSun, Quay, Marc Jacobs",Private. Growth backed. Fast decisions if you reach the CMO,T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | Fashion & Footwear
60,Dutch Bros,dutchbros.com,,High,True,dutchbros.com,lead,QSR and franchise,"QSR, Franchise & Hospitality",Tier 1,"S3, S8",$1B to $5B,"AZ, US",Public,Tier 2 Priority,1,72,False,True,False,,12,10,3,7,8,6,1,0,5,2,6,5,2,5,950+ locations with very aggressive unit growth. Heavy seasonal and LTO menu cadence. Strong social and community presence,"Fastest unit growth rate in this segment, and every new market entry creates a local asset requirement. Menu and seasonal LTO cadence is high. Brand is community and social led, requiring content volume well beyond what the team size supports",Local market asset systems plus LTO and social content volume,$125K to $300K,CMO; VP Brand Marketing; Head of Creative,Unit growth and new market entry; marketing leadership change; capacity hiring,New market entry cadence. Whether local assets are produced centrally. Marketing team size versus growth rate,"Sam's Club, Quay",Unit growth rate is the trigger. Every new market needs assets,"T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | QSR, Franchise & Hospitality"
61,Five Below,fivebelow.com,,High,True,fivebelow.com,lead,Omnichannel retail,Omnichannel Retail,Tier 1,"S2, S4",$1B to $5B,"PA, US",Public,Tier 2 Priority,2,72,False,True,False,,12,10,3,5,8,4,1,2,5,5,5,5,2,5,"1,800+ stores with aggressive expansion. Very high SKU turnover. Licensed and trend driven assortment",Extremely high SKU turnover with trend driven and licensed product means content must be produced faster than any conventional pipeline allows. Rapid store expansion adds local asset volume. Youth audience requires high social cadence,PDP and assortment content plus social volume,$125K to $300K,VP E-commerce; VP Marketing; Head of Creative,Store expansion; e-commerce investment; marketing leadership change; margin programme,SKU turnover rate. E-commerce content coverage. Social cadence versus team size,"Sam's Club, PacSun",,T100 | Master | All Accounts; T100 | Wave 2 | Day 31-60; T100 | Vertical | Omnichannel Retail
62,Movado Group,movadogroup.com,movado.com,High,True,movadogroup.com,lead,Fashion and accessories,Fashion & Footwear,Tier 1,"S3, S7",$500M to $1B,"NJ, US",Public,Tier 2 Priority,2,72,False,True,False,,12,9,3,4,8,2,8,6,0,5,3,5,2,5,"Movado, Concord, Ebel plus licensed brands including Coach, Tommy Hilfiger, Hugo Boss, Lacoste, Calvin Klein","Ten or more licensed brands each requiring dual brand approval on every asset, at a revenue scale where dedicated creative resource per brand is impossible. Watch SKU combinatorics across case, dial and strap. This is a licensed brand governance problem in concentrated form",Licensed brand asset governance plus SKU variant imagery,$75K to $200K,Head of Creative; VP E-commerce; VP Marketing,Marketing leadership change; licensing portfolio change; e-commerce investment,Licensed brand count. SKU count. Creative team size. Whether licensor approval is a bottleneck,"Marc Jacobs, Quay",Highest licensed brand density per dollar of revenue on the list,T100 | Master | All Accounts; T100 | Wave 2 | Day 31-60; T100 | Vertical | Fashion & Footwear
63,Post Holdings,postholdings.com,,High,True,postholdings.com,lead,CPG multi brand,CPG Multi-Brand,Tier 1,"S2, S7",$5B to $10B,"MO, US",Public,Tier 2 Priority,2,72,False,True,False,,12,8,3,7,8,4,8,4,0,5,3,5,2,3,"Cereal, pet food and foodservice portfolio with 20+ brands including Post, Honey Bunches of Oats, Rachael Ray Nutrish",Acquisitive portfolio structure means brands arrive with inconsistent creative systems and no shared governance layer. Cereal category is packaging and promotion heavy with constant retailer asset demand,Portfolio governance plus retailer asset variation,$150K to $350K,VP Brand Marketing; VP Integrated Marketing; Head of Creative,Recent acquisition integration; marketing leadership change; brand consolidation programme,Brand count from 10-K. Whether marketing is centralized or per business unit. Advertising expense,Coca-Cola,,T100 | Master | All Accounts; T100 | Wave 2 | Day 31-60; T100 | Vertical | CPG Multi-Brand
64,Sonos,sonos.com,,High,True,sonos.com,lead,Consumer electronics,Mobility & Devices,Tier 2,S2,$1B to $5B,"CA, US",Public,Tier 2 Priority,2,72,False,True,False,,12,10,3,7,8,4,1,7,0,5,5,5,2,3,Premium audio hardware across 60+ markets. Finish and configuration variation. Software plus hardware content requirement,Product launch driven content cycles plus 60+ market localization plus finish variants plus app and software content. Turnaround context following software issues creates a cost and trust rebuilding mandate. Brand relies on high production value imagery,PDP and lifestyle imagery plus localization,$125K to $300K,Head of Creative; VP Brand Marketing; VP Global Marketing,Turnaround or cost programme; marketing leadership change; product launch cycles,Market and language count. SKU and finish count. Whether creative is in house. Cost programme targets,"Panasonic, BMW, Williams Sonoma",,T100 | Master | All Accounts; T100 | Wave 2 | Day 31-60; T100 | Vertical | Mobility & Devices
65,Wayfair,wayfair.com,,High,True,wayfair.com,lead,Omnichannel retail,Omnichannel Retail,Tier 1,"S2, S4, S6",Over $10B,"MA, US",Public,Tier 2 Priority,1,72,False,True,False,,12,5,2,8,10,4,7,4,0,6,6,5,2,1,"30M+ SKUs, multiple owned brands including Allmodern, Joss & Main, Birch Lane, Perigold. Operates a retail media network",The highest SKU count on this list by an order of magnitude. Furniture and home imagery is expensive to produce conventionally and highly amenable to generated lifestyle context. Multi banner owned brand structure adds a brand governance layer,Synthetic product and lifestyle imagery at catalogue scale,$200K to $500K,VP E-commerce Content; VP Brand; Head of Creative Operations,Retail media expansion; profitability or cost programme; owned brand expansion,Owned brand count. SKU content coverage. Whether lifestyle imagery is produced in house. Cost programme targets,"Williams Sonoma, Amazon",Highest SKU multiplier available. Lifestyle imagery is the wedge,T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | Omnichannel Retail
66,Conagra Brands,conagrabrands.com,,High,False,,,CPG multi brand,CPG Multi-Brand,Tier 1,"S2, S7",Over $10B,"IL, US",Public,Tier 2 Priority,2,71,False,True,False,,12,5,2,8,10,4,8,4,0,5,5,5,2,1,"40+ brands including Birds Eye, Healthy Choice, Slim Jim, Duncan Hines. Very high SKU count",Largest brand count on this list. Portfolio breadth means most brands receive minimal creative investment. Frozen and snacking categories carry heavy shopper and retailer asset requirements,Long tail brand content plus retailer asset variation,$200K to $450K,VP Brand Marketing; VP Integrated Marketing; Head of Creative Operations,Cost or efficiency language on recent earnings calls; brand portfolio review; marketing leadership change,"Brand count from 10-K segments. Advertising expense from EDGAR. Enter at brand or division level, never at corporate","Coca-Cola, Svedka",Enter at division level. Corporate procurement will be heavy,T100 | Master | All Accounts; T100 | Wave 2 | Day 31-60; T100 | Vertical | CPG Multi-Brand
67,Rivian Automotive,rivian.com,,High,True,rivian.com,lead,Automotive,Mobility & Devices,Tier 2,"S3, S10",$1B to $5B,"CA, US",Public,Tier 2 Priority,2,71,False,True,False,,12,10,3,7,8,6,1,4,0,5,5,5,2,3,Electric vehicles with DTC model. Configuration and colour variation. Rapid product line expansion. Heavy brand content requirement,DTC automotive model means the company owns the entire customer facing content requirement with no dealer network to share it. Configuration and colour combinatorics. R2 launch creates a concentrated content need. Cost pressure is severe and public,Configuration and colour variant imagery plus launch content,$125K to $350K,VP Brand Marketing; Head of Creative; VP Digital,R2 launch programme; cost reduction mandate; marketing leadership change,Configuration and colour count. Whether creative is in house. Launch timeline. Cost programme targets,"BMW, Panasonic",Cost mandate is severe. Frame everything in cost per asset,T100 | Master | All Accounts; T100 | Wave 2 | Day 31-60; T100 | Vertical | Mobility & Devices
68,Ulta Beauty,ulta.com,,High,True,ulta.com,lead,Omnichannel retail,Omnichannel Retail,Tier 1,"S2, S4, S6",Over $10B,"IL, US",Public,Tier 2 Priority,1,71,False,True,False,,12,5,2,8,10,4,3,2,5,6,6,5,2,1,"1,400+ stores, 25,000+ SKUs across 600+ brands, operates a retail media network","The strongest single retail profile on this list. Enormous SKU count, a retail media network monetizing brand partner advertising, weekly promotional cadence, and a beauty category where variant imagery volume is extreme. Vendor funded creative demand exceeds internal capacity by a wide margin",Retail media creative services plus PDP content at catalogue scale,$200K to $500K,VP Retail Media; VP E-commerce; Head of Creative Operations,Retail media network expansion; marketing or digital leadership change; open AI or content ops roles,Retail media network scale and whether creative services are offered to advertisers. SKU count. Creative ops leadership on LinkedIn,"Sephora and LVMH, Sam's Club, Amazon","Top target. Retail media is the entry point, not brand marketing",T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | Omnichannel Retail
69,Reynolds Consumer Products,reynoldsconsumerproducts.com,,High,False,,,CPG multi brand,CPG Multi-Brand,Tier 1,"S3, S7",$1B to $5B,"IL, US",Public,Tier 2 Priority,2,70,False,True,False,,12,10,3,5,8,2,5,4,0,6,3,5,2,5,"Reynolds Wrap, Hefty, Presto and store brand manufacturing. Very high SKU count across sizes and formats","Extreme SKU count driven by size and format variation, with a category where PDP and packaging imagery is the primary content need. Store brand business adds a private label asset requirement most agencies will not touch",PDP and SKU content at catalogue scale,$100K to $250K,VP Brand Marketing; VP E-commerce; Head of Creative,E-commerce growth targets; marketing leadership change; cost programme,SKU count. Whether private label assets are produced internally. Amazon and retailer content compliance status,"Amazon, Sam's Club",,T100 | Master | All Accounts; T100 | Wave 2 | Day 31-60; T100 | Vertical | CPG Multi-Brand
70,Solventum,solventum.com,,High,False,,,Consumer health and device,Consumer Health & Wellness,Tier 2,"S2, S7",$5B to $10B,"MN, US",Public,Tier 2 Priority,1,70,False,True,False,,12,8,2,7,8,2,5,7,0,6,3,5,2,3,"Medical, dental, health IT and purification portfolio spun from 3M. Very high SKU count across four segments","Recent spinoff means brand systems, creative operations and vendor relationships are all being established independently, which is a genuine window that closes. Very high SKU count across four business segments. Regulated claims across most categories",Portfolio governance plus PDP and technical product content,$200K to $450K,Head of Creative Operations; VP Marketing per segment; VP Digital,Post spinoff operating model build; cost programme; marketing leadership hires; brand system development,Whether creative operations are centralized post spinoff. SKU count. Which segment holds discretionary budget. Spinoff timeline,"Panasonic, SimpliSafe, CyberArk",Post spinoff brand system build is a closing window. Move now,T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | Consumer Health & Wellness
71,BellRing Brands,bellring.com,,High,True,bellring.com,lead,CPG multi brand,CPG Multi-Brand,Tier 1,S3,$1B to $5B,"MO, US",Public,Tier 2 Priority,2,69,False,True,False,,12,10,3,5,8,4,3,2,0,5,5,5,2,5,Premier Protein and Dymatize. High velocity nutrition category with heavy flavour and format variation,"Small brand count but very high SKU and flavour variation, plus a category where social and creator content volume is the primary growth channel. Lean marketing organization relative to revenue means acute capacity constraint",Social volume plus flavour variant content,$100K to $250K,VP Brand Marketing; Head of Content; VP Digital,Marketing leadership change; capacity expansion; new format or category launch,Marketing headcount on LinkedIn relative to revenue. Meta creative count. Social posting cadence,"Quay, SimpliSafe",,T100 | Master | All Accounts; T100 | Wave 2 | Day 31-60; T100 | Vertical | CPG Multi-Brand
72,Torrid Holdings,torrid.com,,High,True,torrid.com,lead,Omnichannel retail,Omnichannel Retail,Tier 1,"S3, S4",$1B to $5B,"CA, US",Public,Tier 2 Priority,2,69,False,True,False,,12,10,3,4,8,4,1,0,5,5,5,5,2,5,600+ stores plus strong e-commerce. Apparel with extensive size range. Frequent collection drops,Extended size range multiplies on model imagery requirements substantially beyond a standard apparel retailer. Drop cadence forces repeat full asset production. Turnaround context creates a cost mandate,On model and size variant imagery plus drop asset systems,$100K to $225K,VP E-commerce; VP Creative; Head of Marketing,Turnaround or cost programme; marketing leadership change; drop cadence increase,Size range and SKU count. Drop cadence. Photography cost per drop. Cost programme targets,"PacSun, Marc Jacobs",Size range multiplier is specific and credible. Handle representation carefully,T100 | Master | All Accounts; T100 | Wave 2 | Day 31-60; T100 | Vertical | Omnichannel Retail
73,Burlington Stores,burlington.com,,High,True,burlington.com,lead,Omnichannel retail,Omnichannel Retail,Tier 1,"S2, S4",$5B to $10B,"NJ, US",Public,Tier 2 Priority,2,68,False,True,False,,12,8,3,7,8,4,1,2,5,3,5,5,2,3,"1,100+ stores with rapid expansion. Off price model with constantly changing assortment","Off price model means assortment changes continuously, which makes conventional product photography economically impossible and creates a permanent content gap. Rapid store expansion drives local and grand opening asset volume",PDP and assortment content plus local store asset systems,$150K to $350K,VP Marketing; VP E-commerce; Head of Creative Operations,Store expansion programme; e-commerce investment; marketing leadership change,Whether e-commerce is being built out. Store opening cadence. Assortment turnover rate. Creative ops structure,"Sam's Club, Goodwill",Assortment churn is an unusual and strong angle,T100 | Master | All Accounts; T100 | Wave 2 | Day 31-60; T100 | Vertical | Omnichannel Retail
74,Chewy,chewy.com,,High,True,chewy.com,lead,Omnichannel retail,Omnichannel Retail,Tier 1,"S2, S4, S6",Over $10B,"FL, US",Public,Tier 2 Priority,2,68,False,True,False,,12,5,2,8,10,4,5,2,0,6,6,5,2,1,"Pure play e-commerce with 100,000+ SKUs, operates Chewy Ads retail media network, expanding private label brands","Pure play e-commerce means PDP content quality is directly tied to revenue, and content coverage across 100,000 SKUs is structurally incomplete. Chewy Ads creates advertiser creative demand. Private label brand expansion adds owned brand content need",PDP content at catalogue scale plus retail media creative,$200K to $500K,VP E-commerce Content; VP Retail Media; Head of Creative Operations,Chewy Ads expansion; private label brand launches; digital leadership change,SKU content coverage percentage. Chewy Ads advertiser count. Private label brand count,"Amazon, Sam's Club",,T100 | Master | All Accounts; T100 | Wave 2 | Day 31-60; T100 | Vertical | Omnichannel Retail
75,Hormel Foods,hormelfoods.com,,High,True,hormelfoods.com,lead,CPG multi brand,CPG Multi-Brand,Tier 1,"S2, S7",Over $10B,"MN, US",Public,Tier 2 Priority,3,68,False,True,False,,12,5,2,7,10,4,8,4,0,5,3,5,2,1,"40+ brands including Skippy, Planters, Jennie-O, Applegate, Wholly. Retail plus foodservice","Dual channel structure means retail and foodservice each need distinct asset sets from the same brands. Very high brand count with a thin tail. Planters and Skippy carry real media weight, the rest carry almost none",Long tail brand content plus dual channel asset variation,$150K to $400K,VP Brand Marketing; VP Foodservice Marketing; Head of Creative Operations,Efficiency programme; marketing leadership change; brand portfolio review,Brand count from 10-K. Whether foodservice marketing is separate. Advertising expense,"Coca-Cola, Svedka",Foodservice division may be an easier first entry than retail,T100 | Master | All Accounts; T100 | Wave 3 | Day 61-90; T100 | Vertical | CPG Multi-Brand
76,Lancaster Colony,lancastercolony.com,,High,True,lancastercolony.com,lead,CPG multi brand,CPG Multi-Brand,Tier 1,"S3, S7",$1B to $5B,"OH, US",Public,Tier 2 Priority,2,68,False,True,False,,12,10,3,4,8,2,7,2,0,5,3,5,2,5,"Marzetti and Sister Schubert's plus licensed restaurant brands including Olive Garden, Buffalo Wild Wings, Chick-fil-A dressings",Licensed restaurant brand portfolio is an unusual and strong multiplier: each licensor brand requires assets that satisfy two brand systems simultaneously. That is exactly the governance problem a Brand Brain solves and almost nobody is selling into it,Licensed brand asset governance plus retailer variation,$100K to $250K,VP Brand Marketing; Head of Creative; VP Retail Sales and Marketing,New licensed brand additions; marketing leadership change; retail expansion,Number of licensed brands. Whether licensor brand approval is a known bottleneck. SKU count,"Coca-Cola, Svedka",Licensed brand dual approval is a distinctive wedge,T100 | Master | All Accounts; T100 | Wave 2 | Day 31-60; T100 | Vertical | CPG Multi-Brand
77,Savers Value Village,savers.com,,High,True,savers.com,lead,Omnichannel retail,Omnichannel Retail,Tier 1,"S3, S4",$1B to $5B,"WA, US",Public,Tier 3 Volume,3,67,False,True,True,CASL review flagged on the Method tab,12,10,3,4,6,4,5,2,4,2,3,5,2,5,350+ thrift stores across US and Canada. Multiple banners. Assortment is entirely unique per store,"Every item is unique, which makes any product content strategy structurally impossible with conventional production. Multi banner and bilingual Canadian operations add multipliers. Sustainability narrative creates brand content need",Local store and brand content systems plus social volume,$75K to $200K,VP Marketing; Head of Brand; Director of Creative,Marketing leadership change; store expansion; brand repositioning,Banner count. Canadian operations and French requirement. Marketing team size and structure,"Goodwill, PacSun",Goodwill reference is directly on point here. CASL applies to Canada,T100 | Master | All Accounts; T100 | Wave 3 | Day 61-90; T100 | Vertical | Omnichannel Retail
78,Whoop,whoop.com,,High,True,whoop.com,lead,Consumer health and wellness,Consumer Health & Wellness,Tier 2,"S3, S10",$250M to $500M,"MA, US",VC backed,Tier 3 Volume,2,67,False,True,False,,12,8,3,5,8,6,1,4,0,3,5,5,2,5,"Wearable health technology with subscription model. High content requirement for education, community and performance marketing","Subscription model means retention content plus acquisition creative plus feature education, three distinct content systems. Data driven brand narrative requires continuous content production. Late stage VC backing means budget and a growth mandate",Performance creative plus education and lifecycle content,$75K to $200K,VP Brand Marketing; Head of Content; VP Growth,Product launch cycles; marketing leadership change; international expansion; funding deployment,Active creative count. Content team size. Revenue requires estimation. Athlete and likeness rules will apply,"SimpliSafe, Quay, CyberArk",Athlete likeness content is off limits. Scope carefully,T100 | Master | All Accounts; T100 | Wave 2 | Day 31-60; T100 | Vertical | Consumer Health & Wellness
79,Flowers Foods,flowersfoods.com,,High,False,,,CPG multi brand,CPG Multi-Brand,Tier 1,"S3, S7",$5B to $10B,"GA, US",Public,Tier 3 Volume,2,66,False,True,False,,12,8,3,5,8,2,8,2,0,5,3,5,2,3,"Nature's Own, Dave's Killer Bread, Wonder, Canyon Bakehouse plus regional bakery brands. Direct store delivery network",Regional bakery brand structure plus a direct store delivery network creates a geographic and brand multiplication problem. Most brands in the portfolio receive minimal creative investment. Recent Simple Mills acquisition adds another brand system,Long tail brand content plus regional asset variation,$125K to $300K,VP Brand Marketing; Head of Creative Operations; VP Shopper Marketing,Acquisition integration; marketing leadership change; margin improvement programme,Brand count. Whether regional brands have any creative support. Advertising expense,"Svedka, Sam's Club",,T100 | Master | All Accounts; T100 | Wave 2 | Day 31-60; T100 | Vertical | CPG Multi-Brand
80,Arhaus,arhaus.com,,High,False,,,Omnichannel retail,Omnichannel Retail,Tier 1,"S3, S4",$1B to $5B,"OH, US",Public,Tier 3 Volume,3,65,False,True,False,,12,10,3,4,8,2,1,0,4,6,3,5,2,5,"100+ showrooms with expansion. High SKU count with fabric, finish and configuration variation",Furniture configuration variation across fabrics and finishes produces a combinatorial imagery problem that photography cannot economically cover. Showroom expansion adds local assets. Mid market revenue with a growing catalogue is a capacity constraint,Configuration and variant imagery at catalogue scale,$100K to $250K,VP E-commerce; VP Marketing; Head of Creative,Showroom expansion; e-commerce investment; marketing leadership change,SKU and configuration count. Content coverage percentage. Creative team size,"Williams Sonoma, Amazon",Configuration combinatorics is the clearest math to show,T100 | Master | All Accounts; T100 | Wave 3 | Day 61-90; T100 | Vertical | Omnichannel Retail
81,CAVA Group,cava.com,,High,True,cava.com,lead,QSR and fast casual,"QSR, Franchise & Hospitality",Tier 1,"S3, S10",$500M to $1B,"DC, US",Public,Tier 3 Volume,2,65,False,True,False,,12,9,3,5,8,4,1,0,4,2,5,5,2,5,370+ locations with very aggressive expansion. Company operated. High menu innovation and seasonal cadence,Aggressive unit growth into new markets creates continuous local asset demand. Company operated means faster decisions than a franchise system. Menu innovation cadence is high. Growth stage marketing team is almost certainly capacity constrained,Local market asset systems plus menu and social content volume,$100K to $250K,CMO; VP Brand Marketing; Head of Creative,Unit growth and new market entry; marketing leadership hires; digital investment,New market entry cadence. Marketing team size. Whether food photography is in house or agency,"Sam's Club, Quay",Company operated means faster decisions than franchise peers,"T100 | Master | All Accounts; T100 | Wave 2 | Day 31-60; T100 | Vertical | QSR, Franchise & Hospitality"
82,Amorepacific US,amorepacific.com,us.amorepacific.com,VERIFY,True,amorepacific.com,lead,Beauty and personal care,Beauty & Personal Care,Tier 1,"S3, S7",$250M to $500M,"NY, US",Subsidiary,Tier 3 Volume,3,64,False,True,False,,12,8,3,4,6,4,5,2,0,3,5,5,2,5,"Laneige, Innisfree, Sulwhasoo, COSRX in the US market. Multiple brands with distinct positioning","Multiple K beauty brands in a US market requiring cultural and language adaptation from Korean source creative, which is a localization problem in its most literal form. Sephora and Amazon as primary channels each need distinct asset packages",Cultural adaptation and localization plus retailer asset packages,$75K to $175K,VP Marketing US; Head of Brand; Head of Creative,US growth investment; regional leadership change; brand launch activity,US entity decision authority. Brand count in the US. Whether creative comes from Seoul. Revenue requires estimation,"Sephora and LVMH, Quay",Cultural adaptation from Korean source creative is the specific wedge,T100 | Master | All Accounts; T100 | Wave 3 | Day 61-90; T100 | Vertical | Beauty & Personal Care
83,Sol de Janeiro,soldejaneiro.com,,High,True,soldejaneiro.com,lead,Beauty and personal care,Beauty & Personal Care,Tier 1,"S3, S10",$250M to $500M,"NY, US",Subsidiary,Tier 3 Volume,3,64,False,True,False,,12,8,3,5,8,4,1,2,0,3,6,5,2,5,High growth body and fragrance brand within Grupo Boticario. Sold through Sephora and Ulta. Heavy social and creator content,"Growth rate has substantially outpaced marketing infrastructure. Social and creator content volume is the primary channel. Retailer specific requirements for Sephora and Ulta. Parent company is Brazilian, meaning the US entity likely has meaningful local autonomy",Social and creator content volume plus retailer asset packages,$75K to $175K,VP Brand Marketing; Head of Content; Head of Creative,US growth investment; marketing leadership hires; category or market expansion,US entity decision authority versus parent. Social cadence versus team size. Revenue requires estimation,"Sephora and LVMH, Quay",Confirm US entity budget autonomy before scoping,T100 | Master | All Accounts; T100 | Wave 3 | Day 61-90; T100 | Vertical | Beauty & Personal Care
84,First Watch Restaurant Group,firstwatch.com,,High,True,firstwatch.com,lead,QSR and franchise,"QSR, Franchise & Hospitality",Tier 1,"S3, S8",$500M to $1B,"FL, US",Public,Tier 3 Volume,2,63,False,True,False,,12,9,3,4,8,4,1,0,5,2,3,5,2,5,"570+ locations, mixed franchise and company operated, aggressive unit growth, seasonal menu cadence",Mixed ownership model with franchise base creating local asset demand. Very aggressive unit growth into new markets. Seasonal menu rotation is a core brand mechanic requiring recurring food photography and campaign assets,Franchise and local asset systems plus seasonal menu content,$100K to $250K,CMO; VP Marketing; VP Field Marketing,Unit growth programme; marketing leadership change; franchise expansion,Franchise versus company split. Ad fund structure. Seasonal menu cadence and photography cost. Marketing team size,"Sam's Club, Svedka",Seasonal menu rotation is the recurring revenue hook,"T100 | Master | All Accounts; T100 | Wave 2 | Day 31-60; T100 | Vertical | QSR, Franchise & Hospitality"
85,Ollie's Bargain Outlet,ollies.us,,High,True,ollies.us,lead,Omnichannel retail,Omnichannel Retail,Tier 1,"S3, S4",$1B to $5B,"PA, US",Public,Tier 3 Volume,3,63,False,True,False,,12,10,4,4,8,2,1,0,5,2,3,5,2,5,550+ stores with rapid expansion. Closeout model with constantly changing assortment. Minimal e-commerce,"Closeout assortment changes weekly, making conventional content production impossible. Rapid store expansion drives local and opening asset volume. Weekly circular and promotional cadence is heavy relative to marketing team size",Weekly promotional asset systems plus local store assets,$75K to $200K,VP Marketing; Head of Creative; Director of Digital Marketing,Store expansion programme; marketing leadership change; digital investment,Circular and promotional cadence. Marketing team size. Whether creative is agency led,"Sam's Club, Goodwill",Weekly promo cadence at a lean team is the pain,T100 | Master | All Accounts; T100 | Wave 3 | Day 61-90; T100 | Vertical | Omnichannel Retail
86,Rare Beauty,rarebeauty.com,,High,True,rarebeauty.com,lead,Beauty and personal care,Beauty & Personal Care,Tier 1,"S3, S10",$250M to $500M,"CA, US",Private,Tier 3 Volume,3,63,False,True,False,,12,8,3,5,8,4,1,2,0,3,5,5,2,5,Celebrity founded beauty brand with high social cadence. Sold through Sephora. Shade heavy assortment,"Shade range plus high social cadence against a small team. Sephora as primary retail channel means retailer specific asset requirements. Celebrity founder association means creative approval is tight, which makes governance valuable rather than optional",Shade variant imagery plus social content volume,$75K to $175K,VP Brand Marketing; Head of Content; Head of Creative,Marketing leadership change; international expansion; category expansion,Shade count per franchise. Social cadence versus team size. Private financials require estimation. Talent likeness rules will be strict,"Sephora and LVMH, Quay, Marc Jacobs",Likeness and talent rules will be a real constraint. Prepare for it,T100 | Master | All Accounts; T100 | Wave 3 | Day 61-90; T100 | Vertical | Beauty & Personal Care
87,Olaplex Holdings,olaplex.com,,High,True,olaplex.com,lead,Beauty and personal care,Beauty & Personal Care,Tier 1,S3,$250M to $500M,"CA, US",Public,Tier 3 Volume,3,62,False,True,False,,12,8,3,4,6,4,1,4,0,3,5,5,2,5,Professional and consumer hair care with numbered product system. Salon plus retail plus DTC channels,Three channel structure requiring different asset packages from a small SKU count. Turnaround context creates a cost and growth mandate. Education content for the professional channel is a distinct and underserved volume requirement,Education and channel asset systems plus social content volume,$75K to $175K,VP Brand Marketing; Head of Content; Head of Creative,Turnaround programme; marketing leadership change; international expansion,Channel asset requirements. Education content volume. Creative team size. Cost programme targets,"Sephora and LVMH, Quay",Professional education content is the underpitched angle,T100 | Master | All Accounts; T100 | Wave 3 | Day 61-90; T100 | Vertical | Beauty & Personal Care
88,Rothy's,rothys.com,,High,True,rothys.com,lead,Fashion and footwear,Fashion & Footwear,Tier 1,"S3, S10",$250M to $500M,"CA, US",PE backed,Tier 3 Volume,3,62,False,True,False,,12,8,3,4,6,4,1,2,0,5,5,5,2,5,Sustainable footwear and accessories. Colourway and pattern heavy. International expansion. PE majority owner,"Colourway and pattern volume against a lean creative team. PE ownership creates a cost and growth mandate. Sustainability narrative requires continuous content that supports substantiated claims, where governance has value",Colourway variant imagery plus brand and social content volume,$75K to $150K,VP Brand Marketing; Head of Creative; Head of E-commerce,PE cost or growth programme; marketing leadership change; international expansion,PE sponsor and hold period. Colourway count. Creative team size. Revenue requires estimation,"Quay, PacSun",Cap the first scope. Revenue estimate is uncertain,T100 | Master | All Accounts; T100 | Wave 3 | Day 61-90; T100 | Vertical | Fashion & Footwear
